checkpoint,routing_branch_scale,layer,mean_routed_l2,mean_scaled_routed_l2_over_residual_l2
Delta-AttnRes,0.5,20,79.9816665649414,0.10173456370830536
Delta-AttnRes,0.5,21,114.0090560913086,0.11686621606349945
Delta-AttnRes,0.5,22,66.43038940429688,0.058545321226119995
Delta-AttnRes,0.5,23,35.61432647705078,0.026496319100260735
Delta-AttnRes,0.5,24,45.631107330322266,0.029427845031023026
Delta-AttnRes,0.5,25,65.60616302490234,0.037560343742370605
Delta-AttnRes,0.5,26,28.100067138671875,0.012751325033605099
Delta-AttnRes,0.5,27,3.1470963954925537,0.0010227904422208667
Delta-AttnRes,0.75,0,0.6898993253707886,0.26302745938301086
Delta-AttnRes,0.75,1,0.6762807965278625,0.019636159762740135
Delta-AttnRes,0.75,2,0.6381843686103821,0.01278110221028328
Delta-AttnRes,0.75,3,0.852694034576416,0.013883833773434162
Delta-AttnRes,0.75,4,0.852694034576416,0.011896412819623947
Delta-AttnRes,0.75,5,0.7014500498771667,0.008130465634167194
Delta-AttnRes,0.75,6,0.852694034576416,0.0086051095277071
Delta-AttnRes,0.75,7,0.673707902431488,0.006168304476886988
Delta-AttnRes,0.75,8,0.4133562445640564,0.003422236070036888
Delta-AttnRes,0.75,9,0.4378534257411957,0.0032732784748077393
Delta-AttnRes,0.75,10,0.4958847761154175,0.0032731997780501842
Delta-AttnRes,0.75,11,4.349582672119141,0.023504335433244705
Delta-AttnRes,0.75,12,0.5086361765861511,0.0026216022670269012
Delta-AttnRes,0.75,13,0.5530071258544922,0.0026717011351138353
Delta-AttnRes,0.75,14,5.9059672355651855,0.02717837132513523
Delta-AttnRes,0.75,15,11.42447566986084,0.05088185518980026
Delta-AttnRes,0.75,16,40.73652648925781,0.15719102323055267
Delta-AttnRes,0.75,17,28.070220947265625,0.0903983935713768
Delta-AttnRes,0.75,18,53.859806060791016,0.155633807182312
Delta-AttnRes,0.75,19,74.68535614013672,0.1737579107284546
Delta-AttnRes,0.75,20,79.09088134765625,0.15012261271476746
Delta-AttnRes,0.75,21,112.94383239746094,0.17265166342258453
Delta-AttnRes,0.75,22,65.71966552734375,0.08626192063093185
Delta-AttnRes,0.75,23,35.42979049682617,0.03925061970949173
Delta-AttnRes,0.75,24,45.28679275512695,0.043458014726638794
Delta-AttnRes,0.75,25,65.25672912597656,0.05566038936376572
Delta-AttnRes,0.75,26,27.937389373779297,0.018867310136556625
Delta-AttnRes,0.75,27,3.1472127437591553,0.001526877167634666
Delta-AttnRes,1.0,0,0.6898993253707886,0.3514600396156311
Delta-AttnRes,1.0,1,0.6762807965278625,0.027256976813077927
Delta-AttnRes,1.0,2,0.6381843686103821,0.017693426460027695
Delta-AttnRes,1.0,3,0.852694034576416,0.019119111821055412
Delta-AttnRes,1.0,4,0.852694034576416,0.01630985736846924
Delta-AttnRes,1.0,5,0.7014500498771667,0.011109521612524986
Delta-AttnRes,1.0,6,0.852694034576416,0.011716285720467567
Delta-AttnRes,1.0,7,0.6737079620361328,0.008381980471313
Delta-AttnRes,1.0,8,0.41335561871528625,0.004641873296350241
Delta-AttnRes,1.0,9,0.43785321712493896,0.004432981368154287
Delta-AttnRes,1.0,10,0.49463149905204773,0.004411083646118641
Delta-AttnRes,1.0,11,4.2008185386657715,0.03039047308266163
Delta-AttnRes,1.0,12,0.5086356997489929,0.003531542606651783
Delta-AttnRes,1.0,13,0.5530030727386475,0.0035961451940238476
Delta-AttnRes,1.0,14,5.747694969177246,0.035560037940740585
Delta-AttnRes,1.0,15,11.07834529876709,0.0663534477353096
Delta-AttnRes,1.0,16,40.08061599731445,0.20764322578907013
Delta-AttnRes,1.0,17,27.745681762695312,0.11965655535459518
Delta-AttnRes,1.0,18,53.00651931762695,0.20494359731674194
Delta-AttnRes,1.0,19,73.55533599853516,0.22826942801475525
Delta-AttnRes,1.0,20,77.90704345703125,0.19677916169166565
Delta-AttnRes,1.0,21,111.42658996582031,0.2264862209558487
Delta-AttnRes,1.0,22,64.80532836914062,0.11292193830013275
Delta-AttnRes,1.0,23,35.14095687866211,0.05165405198931694
Delta-AttnRes,1.0,24,44.77979278564453,0.056958165019750595
Delta-AttnRes,1.0,25,64.6966552734375,0.07322300970554352
Delta-AttnRes,1.0,26,27.754438400268555,0.024830633774399757
Delta-AttnRes,1.0,27,3.1426877975463867,0.002024610759690404
Delta-AttnRes,1.25,0,0.6898993253707886,0.44069117307662964
Delta-AttnRes,1.25,1,0.6762807965278625,0.03563671559095383
Delta-AttnRes,1.25,2,0.6381843686103821,0.023106321692466736
Delta-AttnRes,1.25,3,0.852694034576416,0.02483932487666607
Delta-AttnRes,1.25,4,0.852694034576416,0.021095026284456253
Delta-AttnRes,1.25,5,0.7014500498771667,0.014314261265099049
Delta-AttnRes,1.25,6,0.852694034576416,0.015035300515592098
Delta-AttnRes,1.25,7,0.6737080812454224,0.010730245150625706
Delta-AttnRes,1.25,8,0.4133548438549042,0.00592810707166791
Delta-AttnRes,1.25,9,0.43785277009010315,0.005651227664202452
Delta-AttnRes,1.25,10,0.49357011914253235,0.005596028175204992
Delta-AttnRes,1.25,11,4.049398422241211,0.03687265142798424
Delta-AttnRes,1.25,12,0.5086353421211243,0.004473546985536814
Delta-AttnRes,1.25,13,0.5529981851577759,0.004551261197775602
Delta-AttnRes,1.25,14,5.56886625289917,0.0435427650809288
Delta-AttnRes,1.25,15,10.694725036621094,0.08099181950092316
Delta-AttnRes,1.25,16,39.26430130004883,0.25669509172439575
Delta-AttnRes,1.25,17,27.362747192382812,0.14857268333435059
Delta-AttnRes,1.25,18,51.98866653442383,0.2528369128704071
Delta-AttnRes,1.25,19,72.16152954101562,0.2807530164718628
Delta-AttnRes,1.25,20,76.43962860107422,0.24150697886943817
Delta-AttnRes,1.25,21,109.4629135131836,0.2780377268791199
Delta-AttnRes,1.25,22,63.70064163208008,0.1384529173374176
Delta-AttnRes,1.25,23,34.767269134521484,0.06368144601583481
Delta-AttnRes,1.25,24,44.12610626220703,0.06985119730234146
Delta-AttnRes,1.25,25,63.934391021728516,0.09015487879514694
Delta-AttnRes,1.25,26,27.56146812438965,0.03065863810479641
Delta-AttnRes,1.25,27,3.1344897747039795,0.002515736036002636
Delta-AttnRes,1.5,0,0.6898993253707886,0.5308705568313599
Delta-AttnRes,1.5,1,0.6762807965278625,0.04489583149552345
